PRODUCT CODE,PRODUCT TITLE,BRAND,PRODUCT TYPE,GTIN,PRICE
2W70623,2Work Hygiene Roll 500mmx40m 2-Ply White (Pack of 9) 2W70623,2Work,Cleaning Products,05010146706235,23.77
KZ10066,Katrin Zig Zag Hand Towels 1-Ply White (Pack of 5000) 100669,Katrin,Sanitary Refills,6414300100669,23.93
KZ46422,Katrin Classic Industrial Hand Towel Roll Blue 500 Sheets (Pack of 2) 464224,Katrin,Sanitary Refills,4004231464224,24.00
KC37490,Scott Multifold Hand Towels 250 Sheet White (16 Pack) 3749,Scott®,Sanitary Refills,10036000374909,24.00
AU00968,Kleenex Facial Tissues Cube 90 Sheets (Pack of 12) 8834,Kleenex®,Sanitary Refills,5027375023590,24.02
TSL09661,Organic Applicator Tampons Regular Pack 20 (Pack of 12) 9660,TSL,Sanitary Dispensers,5050747096618,24.14
VA00486,Evans One3Five Bio Laundry Powder 10kg C050AEV,Evans,Cleaning Products,5055033004865,24.14
KC00267,Scott 2-Ply Performance Toilet Roll 320 Sheets (Pack of 36) 8538,Scott®,Sanitary Refills,05027375016745,24.14
SCA78182,Tork Singlefold Hand Towels H3 Advanced Embossed 15x250 Sheets Blue (Pack of 3750) 290186,Tork,Sanitary Refills,7322540781823,24.20
CPD43428,Maxima Green 2-Ply C-Fold Hand Towels 162 sheets White (Pack of 15) 1104061,Maxima Green,Sanitary Refills,3144031163147,24.34
CC37367,GreenR Hand Dish Ultra Ecological Concentrated Dishwashing Detergent 1L (Pack of 12) 490DONCCGB1079,GreenR,Cleaning Products,15060942373671,24.48
AU70074,Sun Professional Dishwasher Tablets (Pack of 100) 101100937,Sun,Cleaning Products,7615400778287,24.49
ESP34701,Lucart EcoNatural Facial Tissues 100 Sheets (Pack of 40) 841073,EcoNatural,Sanitary Refills,8005892347013,24.52
WE16493,Magic Ice Melt 10kg Bag 357456,Magic,Janitorial Other,5052105164939,24.57
JY34117,Jeyes Sanilav Urinal Channel Blocks Citrus 541015 1009054,Jeyes,Cleaning Products,5060076341174,24.60
KF03806,2Work Hygiene Roll 2-Ply 10 Inch Blue (Pack of 24) KF03806,2Work,Sanitary Refills,5030037038061,24.71
KZ07743,Katrin Folded Hand Towel M Dispenser Black 77434,Katrin,Sanitary Dispensers,6414301077434,24.77
KZ07741,Katrin Folded Hand Towel M Dispenser White 77410,Katrin,Sanitary Dispensers,6414301077410,24.77
CPD63017,Cheeky Panda 3-Ply Toilet Tissue 200 Sheets (Pack of 48) PFTOILT48,The Cheeky Panda,Sanitary Refills,5060561630172,24.88
KZ06161,Katrin Classic Hand Towel Non Stop M2 Pack x25 (Pack of 4000) 61617,Katrin,Sanitary Refills,6414301061617,24.90
